1.979;0.967;-0.768;0.145;0.977;-0.444;-0.55;0.138;-0.233;0.771;-0.589;-0.359;0.823;0.846
1.8725;0.169;0.022;-0.2;0.288;0.613;0.772;0.532;-0.305;-0.074;0.96;0.819;-0.27;-0.2
2.396;0.165;0.109;0.114;-0.184;0.845;0.804;-0.16;-0.636;0.058;0.082;-0.09;0.47;0.348
0.9425;-0.85;0.212;-0.174;-0.85;0.965;0.998;-0.219;-0.345;-1;-0.857;-0.807;0.114;0.418
1.7315;0.067;0.436;0.696;0.06;0.087;-0.384;0.138;0.136;-0.381;0.059;0.088;-0.085;0.943
1.706;0.136;0.243;0.943;0.059;0.088;-0.381;0.138;0.136;-0.381;0.059;0.088;0.243;0.943
2.6465;0.357;0.877;-0.32;0.355;0.113;0.248;0.963;0.967;0.998;0.974;0.965;0.964;0.964
1.8215;-0.047;0.208;-0.114;0.302;0.165;0.011;0.254;0.37;0.34;-0.282;-0.059;0.359;0.279
2.27;0.284;0.161;0.896;0.159;0.095;0.214;0.514;0.284;0.876;0.159;0.094;0.161;0.896
2.048;0.301;0.407;0.195;0.545;0.077;0.196;0.962;0.732;0.448;0.337;0.399;0.711;0.374
1.136;-0.85;-0.762;-0.821;-0.85;-0.456;0.998;-0.242;-0.85;0.997;-0.85;-0.456;-0.762;-0.821
1.136;-0.655;-0.762;-0.821;-0.85;-0.456;0.997;0.118;-0.7;0.998;-0.609;-0.456;0.284;-0.268
1.6745;-1;0.284;-0.268;-0.609;-0.456;0.998;0.117;-1;0.998;-0.609;-0.459;0.284;-0.268
1.673;-1;0.283;-0.246;-0.609;-0.459;0.997;0.117;-1;0.998;-0.609;-0.459;0.283;-0.268
1.6745;-1;0.284;-0.266;-0.609;-0.459;0.998;0.119;-0.99;0.998;-0.605;-0.456;0.284;-0.255
1.676;-0.99;0.284;-0.265;-0.605;-0.456;0.998;0.117;-1;0.998;-0.609;-0.459;0.283;-0.268
1.676;-1;0.284;-0.268;-0.609;-0.459;0.998;0.118;-0.7;0.997;-0.605;-0.456;0.284;-0.268
1.676;-1;-1;-0.27;-0.605;-0.459;0.998;0.117;-1;0.998;-0.609;-0.459;-1;-0.27
1.751;-0.7;-0.8;-0.268;-0.605;-0.456;0.998;0.202;-0.029;0.166;-0.369;-0.075;-1;0.134
1.802;-0.03;-1;0.134;-0.367;-0.075;0.166;0.202;-0.03;0.166;-0.369;-0.075;-1;0.134
1.802;-0.03;-1;0.134;-0.369;-0.075;0.166;0.202;-0.03;0.166;-0.369;-0.075;-0.721;0.134
1.802;-0.03;-0.865;0.133;-0.369;-0.076;0.166;0.202;-0.03;0.166;-0.369;-0.076;-1;0.134
1.802;-0.03;-0.873;0.134;-0.369;-0.076;0.166;0.202;-0.03;0.166;-0.369;-0.076;-1;0.134
1.802;-0.03;-0.738;0.134;-0.369;-0.076;0.166;0.202;-0.03;0.166;-0.369;-0.076;-0.8;0.134
1.802;-0.03;-1;0.134;-0.369;-0.076;0.166;0.202;-0.029;0.166;-0.369;-0.076;-0.932;0.133
1.802;-0.03;-1;0.134;-0.369;-0.076;0.166;0.202;-0.03;0.166;-0.369;-0.076;-0.75;0.133
1.802;-0.029;-1;0.133;-0.369;-0.076;0.166;0.202;-0.03;0.166;-0.369;-0.076;-1;0.133
1.802;-0.029;-0.932;0.133;-0.369;-0.076;0.166;0.202;-0.03;0.166;-0.369;-0.076;-0.733;0.133
1.802;-0.029;-1;0.133;-0.369;-0.078;0.166;0.202;-0.029;0.166;-0.369;-0.076;-0.897;0.133
1.802;-0.029;-0.781;0.133;-0.369;-0.078;0.166;0.202;-0.029;0.166;-0.369;-0.076;-0.738;0.133
1.802;-0.03;-0.727;0.134;-0.369;-0.076;0.166;0.202;-0.029;0.166;-0.369;-0.078;-0.828;0.133
1.802;-0.029;-1;0.133;-0.369;-0.078;0.166;0.202;-0.03;0.166;-0.369;-0.078;-1;0.138
1.802;-0.03;-1;0.134;-0.369;-0.076;0.166;0.202;-0.029;0.166;-0.369;-0.076;-1;0.134
1.802;-0.03;-1;0.134;-0.369;-0.075;0.165;0.202;-0.03;0.166;-0.369;-0.075;-1;0.134
1.802;-0.029;-1;0.134;-0.369;-0.074;0.166;0.202;-0.03;0.166;-0.369;-0.075;-0.897;0.134
1.802;-0.029;-1;0.134;-0.367;-0.076;0.166;0.201;-0.03;0.165;-0.371;-0.076;-0.85;0.133
1.8005;-0.029;-0.762;0.135;-0.369;-0.075;0.166;0;0;0;0;0;0;0
